PassengerId,Survived
892,0
893,0
894,0
895,1
896,1
897,1
898,1
899,1
900,0
901,1
902,1
903,1
904,1
905,0
906,1
907,1
908,0
909,1
910,1
911,1
912,1
913,0
914,0
915,0
916,0
917,0
918,1
919,1
920,0
921,0
922,0
923,0
924,0
925,1
926,0
927,1
928,0
929,0
930,0
931,1
932,1
933,0
934,1
935,0
936,0
937,1
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,0
946,1
947,0
948,0
949,1
950,1
951,1
952,1
953,0
954,0
955,0
956,1
957,0
958,1
959,1
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,0
968,1
969,0
970,1
971,1
972,0
973,0
974,1
975,0
976,0
977,0
978,1
979,0
980,0
981,0
982,1
983,0
984,1
985,1
986,1
987,1
988,1
989,0
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,0
999,0
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,1
1016,0
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,1
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,0
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,0
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,1
1056,1
1057,1
1058,0
1059,1
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,1
1067,1
1068,1
1069,1
1070,0
1071,0
1072,0
1073,1
1074,0
1075,1
1076,0
1077,1
1078,0
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,1
1089,1
1090,1
1091,1
1092,0
1093,1
1094,1
1095,0
1096,0
1097,1
1098,1
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,1
1109,1
1110,1
1111,0
1112,1
1113,1
1114,1
1115,1
1116,0
1117,1
1118,1
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,0
1126,0
1127,1
1128,0
1129,0
1130,1
1131,1
1132,0
1133,1
1134,1
1135,0
1136,1
1137,0
1138,1
1139,0
1140,1
1141,0
1142,0
1143,1
1144,0
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,0
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,1
1159,1
1160,0
1161,1
1162,0
1163,1
1164,0
1165,1
1166,1
1167,1
1168,0
1169,1
1170,1
1171,1
1172,1
1173,0
1174,0
1175,1
1176,1
1177,0
1178,0
1179,1
1180,1
1181,1
1182,0
1183,1
1184,1
1185,0
1186,1
1187,1
1188,0
1189,0
1190,0
1191,0
1192,1
1193,1
1194,1
1195,1
1196,0
1197,0
1198,1
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,1
1209,1
1210,1
1211,1
1212,0
1213,0
1214,1
1215,0
1216,1
1217,1
1218,0
1219,1
1220,0
1221,1
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,1
1229,1
1230,1
1231,0
1232,0
1233,0
1234,1
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,1
1246,1
1247,0
1248,1
1249,0
1250,1
1251,1
1252,0
1253,0
1254,1
1255,1
1256,0
1257,0
1258,1
1259,1
1260,1
1261,1
1262,1
1263,0
1264,1
1265,1
1266,0
1267,1
1268,1
1269,0
1270,0
1271,1
1272,1
1273,0
1274,0
1275,0
1276,1
1277,0
1278,0
1279,1
1280,1
1281,1
1282,1
1283,0
1284,1
1285,1
1286,0
1287,0
1288,1
1289,0
1290,1
1291,0
1292,1
1293,0
1294,1
1295,0
1296,1
1297,0
1298,1
1299,0
1300,0
1301,0
1302,1
1303,0
1304,1
1305,0
1306,1
1307,0
1308,1
1309,0
